id,rss,time_tf,time_rss,position_x,position_y,SA,DA,times,number,length
257,-41.0,2024-06-22 11:54:54.314000,2024-06-22 11:54:54.343000,2.88,-0.01,50:fa:84:cd:cf:57,ff:ff:ff:ff:ff:ff,0,1,1
258,-42.0,2024-06-22 11:54:54.437000,2024-06-22 11:54:54.445000,2.89,-0.01,50:fa:84:cd:cf:57,ff:ff:ff:ff:ff:ff,0,1,1
262,-43.0,2024-06-22 11:54:54.916000,2024-06-22 11:54:54.957000,2.9,-0.01,50:fa:84:cd:cf:57,ff:ff:ff:ff:ff:ff,0,1,1
263,-44.0,2024-06-22 11:54:55.036000,2024-06-22 11:54:55.060000,2.91,0.0,50:fa:84:cd:cf:57,ff:ff:ff:ff:ff:ff,0,1,1
265,-43.0,2024-06-22 11:54:55.273000,2024-06-22 11:54:55.265000,2.92,0.0,50:fa:84:cd:cf:57,ff:ff:ff:ff:ff:ff,0,1,1
266,-41.0,2024-06-22 11:54:55.394000,2024-06-22 11:54:55.367000,2.94,0.01,50:fa:84:cd:cf:57,ff:ff:ff:ff:ff:ff,0,1,1
267,-40.0,2024-06-22 11:54:55.516000,2024-06-22 11:54:55.470000,2.95,0.01,50:fa:84:cd:cf:57,ff:ff:ff:ff:ff:ff,0,1,1
267,-41.0,2024-06-22 11:54:55.516000,2024-06-22 11:54:55.572000,2.95,0.01,50:fa:84:cd:cf:57,ff:ff:ff:ff:ff:ff,0,1,1
268,-41.0,2024-06-22 11:54:55.635000,2024-06-22 11:54:55.674000,2.97,0.02,50:fa:84:cd:cf:57,ff:ff:ff:ff:ff:ff,0,1,1
269,-41.0,2024-06-22 11:54:55.770000,2024-06-22 11:54:55.777000,2.98,0.02,50:fa:84:cd:cf:57,ff:ff:ff:ff:ff:ff,0,1,1
270,-42.0,2024-06-22 11:54:55.890000,2024-06-22 11:54:55.879000,3.0,0.03,50:fa:84:cd:cf:57,ff:ff:ff:ff:ff:ff,0,1,1
